class,sms
ham,"['u', 'talk', 'bout', 'ear', 'morn', '?', ""'s"", 'almost', 'noon', '!']"
ham,"['fin', '.', 'rememb', '.']"
spam,"['hi', 'bab', 'jord', ',', 'r', 'u', '?', 'im', 'hom', 'abroad', 'lon', ',', 'text', 'back', 'u', 'wan', 'na', 'chat', 'xxsp', 'visionsms.com', 'text', 'stop', 'stopcost', '150p', '08712400603']"
ham,"['ok.', 'many', 'buy', '.']"
ham,"['sound', 'good', ',', 'keep', 'post']"
spam,"['get', 'brand', 'new', 'mobl', 'phon', 'ag', 'mob', '!', 'plu', 'load', 'goody', '!', 'info', 'text', 'mat', '87021', '.']"
ham,"['ok.', 'april', '.', 'cant', 'wait']"
ham,"['boy', 'best', 'get', 'yo', 'ass', 'quick']"
ham,"['ay', 'wan', 'meet', 'sat', '?', 'i_', 'wkg', 'sat', '?']"
ham,"[""'m"", 'wait', 'til', '2', 'bus', 'pick', '.']"
ham,"['apart', 'on', 'told', 'yesterday', '?']"
ham,"['ok', 'lor', '...', 'buy', 'wat', '?']"
ham,"['somebody', 'go', 'andro', 'ste', 'ic']"
ham,"['know', '.', ""did't"", 'msg', 'rec', '.']"
ham,"['tak', 'us', 'shop', 'mark', 'distract', 'isaiah.=d']"
ham,"['mum', ',', 'hop', 'gre', 'day', '.', 'hop', 'text', 'meet', 'wel', 'ful', 'lif', '.', 'gre', 'day', '.', 'abiol']"
ham,"['sens', 'foot', 'pen', '.']"
ham,"['okay', 'thought', 'expert']"
ham,"['*', 'deep', 'sigh', '*', '...', 'miss', ':', '-', '(', '...', 'real', 'surpr', ""n't"", 'gon', 'net', 'caf', 'yet', 'get', '...', ""n't"", 'miss', '?']"
ham,"['s.s', ':', ')', 'thinl', 'rol', 'lik', 'sachin.just', 'stand', '.', 'oth', 'hit', '.']"
ham,"['gre', 'trip', 'ind', '.', 'bring', 'light', 'everyon', 'project', 'everyon', 'lucky', 'see', 'smil', '.', 'bye', '.', 'abiol']"
ham,"['import', ',', 'discuss', 'u', '.']"
ham,"['k', '..', 'k', ':', ')', 'train', 'process', '?']"
ham,"['ok', 'lor', '.', 'ned', '2', 'go', 'toa', 'payoh', '4', '2', 'return', 'smth', 'u', 'wan', '2', 'send', 'wat', '?']"
ham,"['da', 'car', 'park']"
ham,"['wish', '.', 'hold', 'tight', '.', 'mak', 'see', 'import', '.', 'much', 'mean', '...', 'much', 'nee', '...', 'lif', '...']"
ham,"['ask', ""'s"", 'anthony', '.', 'dad', '.', 'bf']"
ham,"[""'wnevr"", 'wan', 'fal', 'luv', 'vth', 'book', ',', 'bed', 'fal', 'luv', 'vth', '..', '!', '``', '.', 'yen', 'madodu', ',', 'nav', 'pretsorgint', ',', 'nammann', 'pretsovru', 'import', 'alw', '....', '!', '!', ':', ')', 'gud', 'eveb-', ')', '.']"
ham,"['today-sunday', '..', 'sunday', 'holiday', '..', 'work', '..']"
ham,"['going', 'tak', 'bath', 'il', 'plac', 'key', 'window', ':', '-', ')']"
spam,"['lord', 'ring', ':', 'return', 'king', 'stor', '!', 'reply', 'lot', '2', 'jun', '4', 'chant', '2', 'win', 'lot', 'soundtrack', 'cds', 'stdtxtrate', '.', 'reply', 'stop', 'end', 'txts']"
ham,"['dear', ',', 'tak', 'car', '.', 'reach', 'home.lov', 'u', 'lot', '.']"
ham,['staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323']
ham,"['emigr', 'someth', '?', 'ok', 'mayb', '5.30', 'bit', 'hop', '...']"
ham,"['olol', 'print', 'for', 'post', 'guy', 'exact', 'prob', 'fix', 'gpu', 'replac', '.', 'hop', 'dont', 'ign', '.']"
ham,"['walk', 'mom', '.', 'right', 'stagwood', 'pass', 'right', 'winterston', 'left', 'vict', 'hil', '.', 'address', '&', 'lt', ';', '#', '&', 'gt', ';']"
ham,"['yo', ',', 'jp', 'hungry', 'lik', 'mofo', '?']"
ham,"['creepy', 'crazy', '.']"
ham,"['ok', '...', 'din', 'get', 'ur', 'msg', '...']"
ham,"['tessy', '..', 'pls', 'fav', '.', 'pls', 'convey', 'birthday', 'wish', 'nimy', '..', 'pls', 'dnt', 'forget', '.', 'today', 'birthday', 'shija']"
ham,"['pathay', 'enket', 'maraikar', 'pa', ""'""]"
ham,"['ev', 'friend', 'priest', 'cal']"
ham,"['u', 'lousy', ',', 'run', 'already', 'com', 'back', 'half', 'dead', '...', 'hee', '...']"
ham,"[""'s"", 'said', ""'s"", 'bad', 'dat', 'e', 'gal', 'know', 'u', '...', 'wat', 'u', '?']"
ham,"['remind', 'hrs', '.']"
ham,"['hop', 'would', 'send', 'mess', '.', 'rent', 'due', 'dont', 'enough', '.', 'reserv', 'complet', 'gon', '.', 'loan', 'nee', 'hop', 'could', '.', 'bal', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'way', 'could', 'get', ',', 'til', 'mid', 'march', 'hop', 'pay', 'back', '.']"
ham,"['hi', '.', 'happy', 'new', 'year', '.', 'dont', 'mean', 'intrud', 'pls', 'let', 'know', 'much', 'tuit', 'paid', 'last', 'semest', 'much', 'semest', '.', 'thank']"
ham,"['hello', 'hun', 'ru', '?', 'way', '.', 'im', 'good', '.', '2', 'dat', 'guy', 'met', 'walkabout', 'far', '.', 'meet', 'soon', '.', 'how', 'everyon', 'els', '?']"
ham,"['lol', 'gon', 'na', 'last', 'mon', '.', 'cash', 'left', '&', 'lt', ';', '#', '&', 'gt', ';', 'cas', '.', 'collect', 'week', 'caus', 'annount', 'blog', '.']"
spam,"['good', 'luck', '!', 'draw', 'tak', 'plac', '28th', 'feb', '06.', 'good', 'luck', '!', 'remov', 'send', 'stop', '87239', 'custom', 'serv', '08708034412']"
ham,"['short', 'cut', ':', '\\', 'good', 'person']"
ham,"[""n't"", 'decid', 'yet', 'eh', '?']"
ham,"['wat', 'tim', 'liao', ',', 'stil', 'got', '.']"
ham,"['ye', 'watch', 'footy', 'worry', ""'re"", 'going', 'blow', '-', 'phil', 'nevil', '?']"
ham,"['wait', '4', 'i_', 'insid', 'da', 'car', 'park', '...']"
ham,"['unc', 'abbey', '!', 'happy', 'new', 'year', '.', 'abiol']"
ham,"['fre', 'cal', 'pa', '.']"
ham,"['r', 'u', 'say', 'ord', 'slip', 'cos', 'pay', 'return', '.']"
ham,"['stop', 'know', 'wel', '!']"
ham,"['good', 'ev', '!', 'rog', '.', '?']"
ham,"['smal', 'problem', 'auct', ':', ')', 'pund', 'ask', 'tiw']"
spam,"['fre', 'entry', '2', 'week', 'comp', 'chant', 'win', 'ipod', '.', 'txt', 'pod', '80182', 'get', 'entry', '(', 'std', 'txt', 'rat', ')', '&', 'c', ""'s"", 'apply', '08452810073', 'detail', '18+']"
ham,"['tel', 'tel', 'on', '.', 'tre', 'hi', 'hi', 'hi']"
ham,"['unc', 'atlant', '.', 'wish', 'guy', 'gre', 'semest', '.']"
spam,"['1st', 'wk', 'fre', '!', 'gr8', 'ton', 'str8', '2', 'u', 'wk', '.', 'txt', 'nok', '8007', 'class', 'nok', 'ton', 'hit', '8007', 'poly', '.', 'nokia/150p', 'poly/200p', '16+']"
ham,"['u', 'com', '2', 'pick', '?']"
ham,"['that', 'cool', '.', 'lik', 'photo', '.', 'sexy', '!']"
ham,"['would', 'u', 'fuckin', 'believ', 'didnt', 'know', 'thur', 'pre', 'book', 'cancel', '!', 'nee', 'b', 'sack']"
ham,"['hah', 'bet', 'lat', 'ev', ',', 'way', 'could', 'swing', '?']"
ham,"['ok.', 'fin', '6', '.']"
spam,"['lookatm', '!', ':', 'thank', 'purchas', 'video', 'clip', 'lookatm', '!', ',', ""'ve"", 'charg', '35p', '.', 'think', 'bet', '?', 'send', 'video', 'mmsto', '32323', '.']"
ham,"[""'ve"", 'bar', 'b', 'q', 'stor', 'lif', '!', '?', 'twat', 'orang', 'dung', 'cam', 'ask', 'want', 'deck', '?', 'got', 'first', 'punch', '!', '!']"
ham,"['mess', '.', 'food', '?']"
ham,"['ok', 'going', 'sleep', '.', 'hop', 'meet', '.']"
ham,"['wat', 'mak', 'peopl', 'dear', 'de', 'happy', 'dat', 'u', 'feel', 'u', 'meet', 'de', 'pain', 'u', 'feel', 'u', 'miss', 'dem', '!', '!', '!']"
ham,"['let', 'know', 'detail', 'fri', 'u', 'find', 'cos', ""'m"", 'tom', 'fri.', 'mention', 'chines', '.', 'thank']"
ham,"[""'re"", 'right', 'think']"
ham,"['wat', 'r', 'u', '?']"
ham,"['ur', 'lect', '?']"
spam,"['sexy', 'sexy', 'cum', 'text', 'im', 'wet', 'warm', 'ready', 'porn', '!', 'u', 'fun', '?', 'msg', 'fre', 'recd', 'msgs', '150p', 'int', 'vat', '2', 'cancel', 'text', 'stop']"
ham,"['custom', 'plac', 'cal']"
ham,"['plan', 'yet', ':', ')', 'going', 'join', 'company', 'jan', '5', 'only.don', 'know', 'hap', '.']"
ham,"['boy', ';', 'lov', 'u', 'grl', ':', 'hogolo', 'boy', ':', 'gold', 'chain', 'kodstin', 'grl', ':', 'agall', 'boy', ':', 'necklac', 'madstin', 'grl', ':', 'agall', 'boy', ':', 'hogl', '1', 'muta', 'eerull', 'kodthin', '!', 'grl', ':', 'lov', 'u', 'kano', ';', '-', ')']"
ham,"['hah', 'heard', ',', 'text', ""'re"", 'around']"
ham,"['i.ll', 'get', 'tomorrow', 'send']"
ham,"['\\shit', 'bab', '..', 'thas', 'bit', 'mess', 'up.yeh']"
ham,"['oh', 'that', 'lat', '!', 'wel', 'good', 'night', 'giv', 'u', 'cal', 'tomorrow', '.', 'iam', 'going', 'go', 'sleep', 'night', 'night']"
ham,"['\\cheers', 'u', 'tex', 'mecaus', 'u', 'wereb', '!', 'yeah', 'okd', 'hunny', 'r', 'uin', 'wk', 'sat', '?', 'soundao', 'likeyo', 'havin', 'gr8fun', 'j', '!', 'keep', 'upd', 'countinlot', 'lovem', 'xxxxx.\\', '``', '``']"
ham,"['sorry', ',', 'meet', ""'ll"", 'cal', 'lat']"
ham,"['yo', '!', 'howz', 'u', '?', 'girl', 'nev', 'rang', 'ind', '.', 'l']"
ham,"['yeah', 'wors']"
spam,"['hard', 'liv', '121', 'chat', '60p/min', '.', 'choos', 'girl', 'connect', 'liv', '.', 'cal', '09094646899', '!', 'cheap', 'chat', 'uk', ""'s"", 'biggest', 'liv', 'serv', '.', 'vu', 'bcm1896wc1n3xx']"
ham,"['tag', 'friend', 'seem', 'count', 'friend', '.']"
spam,"['heard', 'u4', '.', 'cal', '4', 'rud', 'chat', 'priv', 'lin', '01223585334', 'cum', '.', 'wan', '2c', 'pic', 'gettin', 'shag', 'text', 'pix', '8552', '.', '2end', 'send', 'stop', '8552', 'sam', 'xxx']"
ham,"['ok', '...']"
ham,"['long', 'tim', '.', 'rememb', 'today', '.']"
ham,"['hav', 'shop', 'lor', 'juz', 'ar']"
ham,"['thank', 'u.', 'bet', 'work', 'caus', 'feel', 'us', 'otherw']"
ham,"['challeng', '?', 'know', ':', ')']"
ham,"['much', 'ur', 'hdd', 'cas', 'cost', '.']"
ham,"['mystery', 'solv', '!', 'op', 'email', ""'s"", 'sent', 'anoth', 'batch', '!', ""n't"", 'swe']"
ham,"['ca', ""n't"", 'describ', 'lucky', ""'m"", 'act', 'awak', 'noon']"
spam,"['2nd', 'tim', 'tri', 'contact', 'u.', 'u', 'a1450', 'priz', 'claim', 'cal', '09053750005', 'b4', '310303', '.', '&', 'cs/stop', 'sms', '08718725756', '.', '140ppm']"
ham,"['today', 'sorry', 'day', '.', '!', 'ev', 'angry', ',', 'ev', 'misbehav', 'hurt', '?', 'plz', 'plz', 'slap', 'urself', 'bcoz', ',', 'ur', 'fault', ',', ""'m"", 'bas', 'good']"
ham,"['che', 'card', '...', 'tim', 'year', 'already', '?']"
spam,"['hot', 'liv', 'fantasy', 'cal', '08707509020', '20p', 'per', 'min', 'ntt', 'ltd', ',', 'po', 'box', '1327', 'croydon', 'cr9', '5wb', '0870', '..', 'k']"
ham,"['peopl', 'see', 'msgs', ',', 'think', 'iam', 'addict', 'msging', '...', 'wrong', ',', 'bcoz', ""don\\'t"", 'know', 'iam', 'addict', 'sweet', 'friend', '..', '!', '!', 'bslvyl']"
ham,"['ugh', 'hop', 'as', 'ppl', 'dont', 'random', 'reform', '.']"
ham,"[""n't"", 'seen', 'facebook', ',', 'huh', '?', 'lol', '!']"
ham,"['mah', 'b', ',', ""'ll"", 'pick', 'tomorrow']"
ham,"['stil', 'otsid', 'le', '..', 'u', 'com', '2morrow', 'mag', '..']"
ham,"['u', 'stil', 'plumb', 'tap', 'wrench', 'could', 'borrow', '?']"
spam,"['dear', 'vouch', 'hold', ',', 'claim', 'week', 'off', ',', 'pc', 'pleas', 'go', 'ts', '&', 'cs', 'apply', '.']"
ham,"['vl', 'bcum', 'difficult', '..']"
spam,"['ur', 'going', '2', 'bahama', '!', 'callfreefon', '08081560665', 'speak', 'liv', 'op', 'claim', 'eith', 'bahama', 'cru', 'ofa2000', 'cash', '18+only', '.', 'opt', 'txt', 'x', '07786200117']"
ham,"['hav', 'stil', 'waitin', 'us', '...', 'ii', 'com', 'back', 'sch', 'ored', '?']"
ham,"['meet', 'da', '.', 'cal']"
ham,"['k', 'k', ':', '-', ')', ':', '-', ')', 'watch', 'film', '.']"
ham,"['cinem', 'plu', 'drink', 'ap', 'tomo', '?', '*', 'fr', 'thriller', 'direct', 'lik', 'mac', '8.30', '.']"
ham,"['siz', 'eleph', 'tablet', '&', 'u', 'shov', 'um', 'ur', 'ass', '!', '!']"
ham,"['many', 'peopl', 'seem', 'spec', 'first', 'sight', ',', 'remain', 'spec', 'til', 'last', 'sight', '..', 'maintain', 'til', 'lif', 'end', '..', 'tak', 'cr', 'da']"
ham,"['par', ',', 'kidz', ',', 'friend', 'n', 'colleagu', '.', 'screaming', '..', 'surpr', '!', '!', 'wait', 'sof', '..', '...', '.....', ""'"", 'nak', '...', '!']"
ham,"['dunno', 'juz', 'askin', 'cos', 'got', 'card', 'got', '20', '%', '4', 'salon', 'cal', 'hair', 'sens', 'tot', ""'s"", 'da', 'on', 'i_', 'cut', 'ur', 'hair', '.']"
ham,"['good', 'morn', 'pooky', 'pie', '!', 'lol', 'hop', ""n't"", 'wak', 'u']"
ham,"['mayb', 'wok', 'fuck', '3', 'would', ""n't"", 'problem', '.']"
ham,"['happy', 'birthday', '....', 'dear.with', 'lot', 'love.rakhesh', 'nri']"
ham,"['howz', 'person', 'story']"
spam,"['2nd', 'tim', 'tri', '2', 'contact', 'u.', 'u', '750', 'pound', 'priz', '.', '2', 'claim', 'easy', ',', 'cal', '08712101358', '!', '10p', 'per', 'min', '.', 'bt-national-rate']"
ham,"['x2', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'going', 'get']"
ham,"['hi', 'nev', 'worry', 'bout', 'da', 'tru', 'coz', 'tru', 'lead', '2', 'ur', 'heart', '.', 'itao', 'least', 'un', 'person', 'lik', 'u', 'deserv', '.', 'sleep', 'tight', 'morn']"
spam,"['ur', 'award', 'city', 'break', 'could', 'win', 'a200', 'sum', 'shop', 'spree', 'every', 'wk', '.', 'txt', 'stor', '88039.skilgme.tscs087147403231winawk', '!', 'age16+a1.50perwksub']"
ham,"['ur', 'pap', 'today', 'e', 'morn', 'aft', '?']"
ham,"['lick', 'every', 'drop', ':', ')', 'ready', 'us', 'mou', 'wel', '?']"
ham,"['!', 'expect', 'whenev', 'text', '!', 'hop', 'goe', 'wel', 'tomo']"
ham,"['gre', '.', 'p', 'diddy', 'neighb', 'com', 'toothpast', 'every', 'morn']"
ham,"['av', 'new', 'numb', ',', '.', 'wil', 'u', 'us', 'on', ',', 'ta', '.']"
ham,"['pok', 'man', 'everyday', 'teach', 'canad', 'ab', '!', '.', 'say', 'hi', '.']"
ham,"['7', 'lor', '...', 'chang', '2', 'suntec', '...', 'wat', 'tim', 'u', 'com', '?']"
ham,"['de.am', 'see', 'onlin', 'shop', 'ask', '.']"
ham,"['cury', 'cuz', 'ask']"
ham,"['nice.nice.how', 'work', '?']"
ham,"['okay', 'lor', '...', 'wah', '...', 'lik', 'def', 'wont', 'let', 'us', 'go', '...', 'hah', '...', 'say', 'term', 'condit', '?']"
ham,"['hah', '...', 'yup', 'hop', 'los', 'kg', 'mon', '.', 'hip', 'hop', 'go', 'orchard', 'weigh']"
ham,"[""'s"", 'good', '.', '.', 'r', 'u', 'work']"
ham,"['oh', ',', 'ye', ',', ""'ve"", 'littl', 'weath', ""'ve"", 'kind', 'coccoon', 'hom']"
ham,"['hom', 'also', '.']"
ham,"['phon', 'weirdest', 'auto', 'correct', '.']"
ham,"['oop', 'phon', 'died', ""n't"", 'ev', 'know', '.', 'yeah', 'lik', 'bet', '.']"
ham,"['hav', 'mus', 'ask', 'u', '1st', 'wat', '.', 'meet', '4', 'lunch', 'den', 'u', 'n', 'meet', 'already', 'lor', '.', 'u', 'wan', '2', 'go', 'ask', 'da', 'ge', '1st', 'confirm', 'w', 'asap', '?']"
ham,"['said', ',', '``', 'u', 'mind', 'go', 'bedroom', 'minut', '?', '``', '``', 'ok', '``', ',', 'sed', 'sexy', 'mood', '.', 'cam', '5', 'minut', 'lat', 'wid', 'cak', '...', 'n', 'wif', ',']"
ham,"['oh', 'yeah', ',', 'hav', 'gre', 'tim', 'newquay-send', 'postcard', '!', '1', 'look', 'girl', 'im', 'gon', '(', 'u', 'know', '1im', 'talkin', 'bout', '!', ')', 'xx']"
ham,"['got', 'divorc', '.', 'lol', '.', 'she.s']"
ham,"[""'s"", 'ur', 'pin', '?']"
ham,"['bab', ',', 'got', 'enough', 'money', 'pick', 'bread', 'milk', '?', ""'ll"", 'giv', 'back', 'get', 'hom', '?']"
ham,"['want', 'snow', '.', ""'s"", 'freez', 'windy', '.']"
spam,"['urg', '!', 'try', 'contact', 'u.', 'today', 'draw', 'show', 'a2000', 'priz', 'guarantee', '.', 'cal', '09066358361', 'land', 'lin', '.', 'claim', 'y87', '.', 'valid', '12hrs']"
ham,"['com', 'mah', 'bus', 'stop', '..', '&', 'lt', ';', 'decim', '&', 'gt', ';']"
ham,"['know', ':', ')', 'week', ""'m"", 'going', 'tirunelva', 'da', '.']"
ham,"['baby', '!', 'prom', 'tre', 'wel', '!', 'bet', 'tak', 'good', 'car', '...']"
ham,"['lik', 'hotel', 'dusk', 'gam', 'think', '.', 'solv', 'puzzl', 'are', 'thing']"
spam,"['thank', 'rington', 'ord', ',', 'ref', 'numb', 'x29', '.', 'mobl', 'charg', '4.50.', 'ton', 'ar', 'pleas', 'cal', 'custom', 'serv', '09065989180']"
ham,"['hi', ',', 'lov', '!', 'goe', 'day', '?', 'fuck', ',', 'morn', 'wok', 'drop', 'cel', 'way', 'stair', 'seem', 'alright', '...', '*', 'phew', '*', 'miss', '!']"
ham,"['wel', 'must', 'pain', 'catch']"
ham,"['sorry', 'da', 'thangam.it', ""'s"", 'mistak', '.']"
ham,"['nee', '...', 'coz', 'nev', 'go']"
ham,"['ros', 'red', ',', 'red', 'blood', ',', 'blood', 'heart', ',', 'heart', 'u.', 'u', '....', 'send', 'tis', 'ur', 'friend', '..', 'includ', '..', 'u', 'lik', '..', 'u', 'get', 'back', ',', '1-u', 'r', 'poor', 'rel', '!', '2-u', 'nee', '1', 'support', '3-u', 'r', 'frnd', '2', 'many', '4-some1', 'luv', 'u', '5+-', 'some1', 'pray', 'god', 'marry', 'u.', ':', '-', ')', 'try', '....']"
ham,"['wife.how', 'knew', 'tim', 'murd', 'exact']"
spam,"['six', 'chant', 'win', 'cash', '!', '100', '20,000', 'pound', 'txt', '>', 'csh11', 'send', '87575.', 'cost', '150p/day', ',', '6days', ',', '16+', 'tsandc', 'apply', 'reply', 'hl', '4', 'info']"
spam,"['ur', 'cash-balance', 'cur', '500', 'pound', '-', 'maxim', 'ur', 'cash-in', 'send', 'collect', '83600', '150p/msg', '.', 'cc', ':', '08718720201', 'po', 'box', '114/14', 'tcr/w1']"
ham,"['feel', 'lik', 'dick', 'keep', 'sleep', 'text', 'facebook', 'mess', '.', 'sup', ',', 'town', '?']"
ham,"['plm', 'com', 'da', '.', 'way', '.']"
ham,"['guess', 'want', 'alon', 'tim', '.', 'could', 'show', 'watch', '..']"
ham,"['height', 'recyc', ':', 'read', 'twice-', 'peopl', 'spend', 'tim', 'earn', 'money', 'money', 'spent', 'spend', 'tim', '!', ';', '-', ')', 'good', 'morn', '..', 'keep', 'smil', ':', '-', ')']"
ham,"['yup', 'i_', 'comin', ':', '-', '(']"
ham,"['ye', ',', 'princess', '.', 'toledo', '.']"
ham,"['aight', 'text', ""'re"", 'back', 'mu', ""'ll"", 'swing', ',', 'nee', 'somebody', 'get', 'door']"
ham,"['ron', 'say', 'fri', 'leh', '.', 'n', 'said', 'ding', 'tai', 'feng', 'cant', 'mak', 'reserv', '.', 'said', 'wait', 'lor', '.']"
ham,"['good', '.', 'swimsuit', 'allow', ':', ')']"
ham,"['okay', '.', 'soon', '.', 'best']"
ham,"['cut', 'thought', 'friend', ':', '\\its', 'necess', 'shar', 'every', 'secret', 'ur', 'clos', 'frnd']"
ham,"['ok', ""'ve"", 'sent', 'u', 'da', 'latest', 'vert', 'da', 'project', '.']"
ham,"['good', 'morn', 'dear', '...........', 'gre', '&', 'amp', ';', 'success', 'day', '.']"
ham,"['pls', 'acceiv', 'on', 'day', '.', 'beg', 'chang', 'numb', '.']"
ham,"['squeeeeez', '!', '!', 'christmas', 'hug', '..', 'u', 'lik', 'frndshp', 'den', 'hug', 'back', '..', 'u', 'get', '3', 'u', 'r', 'cut', ':', ')', '6', 'u', 'r', 'luvd', ':', '*', '9', 'u', 'r', 'lucky', ';', ')', 'non', '?', 'peopl', 'hat', 'u', ':']"
ham,"['ok', ',', 'anybody', 'ask', 'abt', ',', 'u', 'tel', '..', ':', '-p']"
ham,"['funny', 'fact', 'nobody', 'teach', 'volcano', '2', 'erupt', ',', 'tsunam', '2', 'ar', ',', 'hur', '2', 'sway', 'aroundn', '1', 'teach', 'hw', '2', 'choos', 'wif', 'nat', 'disast', 'hap']"
ham,"['*', 'gon', 'na', 'ring', 'weekend', 'wot', '?']"
ham,"['also', 'track', 'light', 'find']"
ham,"['sorry', ',', 'ca', ""n't"", 'help', '.']"
ham,"['bab', ',', 'nee', 'adv']"
ham,"['iul', 'leav', 'around', 'four', ',', 'ok', '?']"
ham,"['com', 'med', 'colleg', '7pm', '......', 'forward', 'da']"
ham,"['k', ':', ')', 'k', '..', 'good', ':', ')', 'going', '?']"
ham,"['mak', 'lasagn', '...', 'vodk', '...']"
ham,"['hi', 'kat', 'u', 'giv', 'ring', 'asap', 'xxx']"
ham,"['peopl', '?', 'tour', '?', 'thought', 'sof', 'thing', 'sent', '?', 'cury', 'sug']"
ham,"[',', 'told', 'going', ',', 'got', 'drunk', '!']"
ham,"['fuck', 'chick', '.', 'mess', 'would', 'lat', 'woould', 'buzz', ""n't"", 'hear', 'word']"
spam,"['congrat', '!', 'thank', 'good', 'friend', 'u', 'a2,000', 'xma', 'priz', '.', '2', 'claim', 'easy', ',', 'cal', '08718726978', '!', '10p', 'per', 'minut', '.', 'bt-national-rate']"
ham,"[""'m"", 'alway', 'look', 'excus', 'city', '.']"
ham,"['yup', ""'m"", 'stil', 'coff', 'wif', 'fren', '...', 'fren', 'drov', ""'ll"", 'giv', 'lift', '...']"
ham,"['shor', 'takin', 'bus']"
ham,"['u', 'gon', 'na', 'get', 'deu', 'ex', '?']"
ham,"['send', 'email', '.', 'mind', '&', 'lt', ';', '#', '&', 'gt', ';', 'tim', 'per', 'night', '?']"
spam,"['44', '7732584351', ',', 'want', 'new', 'nok', '3510i', 'colo', 'phon', 'deliveredtomorrow', '?', '300', 'fre', 'minut', 'mobl', '+', '100', 'fre', 'text', '+', 'fre', 'camcord', 'reply', 'cal', '08000930705', '.']"
ham,"['tap', '&', 'spil', 'sev', '.', '*', 'pub', 'gas', 'st', 'broad', 'st', 'can', '.', 'ok', '?']"
ham,"['ok', 'com', 'n', 'pick', 'u', 'engin', '?']"
ham,"['nev', 'want', 'tel', '.', ""'m"", 'short', 'on-edge', 'lat', '.']"
ham,"['raviyog', 'periph', 'bhayand', 'east']"
ham,"['k', 'act', 'guy', 'meet', 'sunoco', 'howard', '?', 'right', 'way']"
spam,"['1', 'new', 'voicemail', '.', 'pleas', 'cal', '08719181513', '.']"
ham,"['moon', 'com', 'col', 'dream', ',', 'star', 'mak', 'mus', 'sms', 'giv', 'warm', 'peac', 'sleep', '.', 'good', 'night']"
ham,"['fin', 'eat', '.', 'got', 'u', 'plat', '.', 'leftov', 'tim', '.']"
ham,"['thanx', 'lot', '...']"
ham,"['hurry', 'hom', 'u', 'big', 'but', '.', 'hang', 'last', 'cal', 'u', '.', 'food', 'don', ""'m"", 'starv', '.', ""n't"", 'ask', 'cook', '.']"
ham,"['lol', 'right', '.', 'diet', '?', 'everyday', 'che', 'anyway', '.', ""'m"", 'meant', 'fatty', ':', '(']"
ham,"['gre', 'day', '.', 'beauty', 'on', '.']"
ham,"['hap', 'interview', '?']"
ham,"['solv', 'cas', ':', 'man', 'found', 'murd', '&', 'lt', ';', 'decim', '&', 'gt', ';', '.', '&', 'lt', ';', '#', '&', 'gt', ';', 'afternoon', '.', '1', ',', 'wif', 'cal', 'pol', '.', '2', ',', 'pol', 'quest', 'everyon', '.', '3', ',', 'wif', ':', 'sir', ',', 'sleep', ',', 'murd', 'took', 'plac', '.', '4.cook', ':', 'cook', '.', '5.gardener', ':', 'pick', 'veget', '.', '6.house-maid', ':', 'went', '2', 'post', 'off', '.', '7.children', ':', 'went', '2', 'play', '.', '8.neighbour', ':', 'went', '2', 'marry', '.', 'pol', 'arrest', 'murd', 'immedy', '.', ""'s"", '?', 'reply', 'reason', ',', 'u', 'r', 'bril', '.']"
ham,"['badri', 'chenna', ':', ')', 'sur', 'pick', 'us', ':', ')', 'competit', '.']"
ham,"['tot', ""'s"", 'group', 'mat', '...', 'lucky', 'hav', 'reply', '...', 'wat', 'tim', 'i_', 'nee', 'leav', '...']"
ham,"['hey', 'around', '?', ""'ve"", 'got', 'enough', 'half', '+', 'ten', 'ow']"
ham,"['hey', 'tmr', 'mayb', 'meet', 'yck']"
ham,"['alrit', 'sam', 'nic', 'checkin', 'ur', 'number-so', '?', 't.b', '*']"
ham,"['mak', 'easy', 'pay', 'back', '.', '&', 'lt', ';', '#', '&', 'gt', ';', 'yr', 'say', 'pay', 'back', 'ear', '.', 'get', '?']"
ham,"['worry', '.', ""'m"", 'sur', ""'ll"", 'get', '.']"
ham,"['gas', 'stat', 'lik', 'block', 'away', 'hous', ',', ""'ll"", 'driv', 'right', 'sint', 'armen', 'end', 'swan', 'tak', 'howard']"
spam,"['someon', 'u', 'know', 'ask', 'dat', 'serv', '2', 'contact', '!', 'cant', 'guess', '?', 'cal', '09058097189', 'rev', '.', 'pobox', '6', ',', 'ls15hb', '150p']"
spam,"['camer', '-', 'award', 'sipix', 'digit', 'camer', '!', 'cal', '09061221066', 'from', 'landlin', '.', 'delivery', 'within', '28', 'day']"
ham,"['tuit', '330.', 'hm', 'go', '1120', '1205', 'on', '?', 'mind', '?']"
ham,"[""'m"", 'smok', 'peopl', 'us', '\\wylie', 'smok', 'much\\', '``', 'just', 'ruin', 'shit', '``']"
ham,"['dear', 'good', 'morn', 'feel', 'dear']"
ham,"['littl', '.', 'med', 'say', 'tak', 'every', '8', 'hour', '.', ""'s"", '5', 'pain', 'back', '.', 'took', 'anoth', '.', 'hop', ""n't"", 'die']"
ham,"['beauty', 'tomorrow', 'nev', 'com', '..', 'com', ',', ""'s"", 'already', 'today', '..', 'hunt', 'beauty', 'tomorrow', ""n't"", 'wast', 'wond', 'today', '..', 'goodmorn', ':', ')']"
